regime,group,n_patients,converged,n_iter,best_iter,log_lik,alpha_true,alpha_est,lam_true,lam_est,beta_true,beta_est,gamma_true,gamma_est,sigma_w_true,sigma_w_est,sigma_e_true,sigma_e_est,b0_true,b0_est,b1_true,b1_est,noise_var_true,noise_var_est,noise_acov1_true,noise_acov1_est
low_noise,0,44,True,68,68,1522.842179,0.600000,0.586205,0.800000,0.798188,0.500000,0.508133,0.200000,0.199095,0.100000,0.106382,0.100000,0.098478,0.500000,0.496965,-0.160000,-0.158916,0.018900,0.018798,-0.008000,-0.007741
low_noise,1,56,True,357,357,1594.267187,0.300000,0.593875,0.400000,0.389908,0.900000,0.493007,0.500000,0.475727,0.100000,0.204600,0.100000,0.088851,0.770000,0.768512,-0.200000,-0.185489,0.019700,0.019269,-0.004000,-0.003078
high_noise,0,54,True,69,69,-4356.552474,0.600000,0.136885,0.800000,0.791050,0.500000,1.819228,0.200000,0.261599,1.000000,0.268382,1.000000,1.026042,0.500000,0.510624,-0.160000,-0.206938,1.890000,1.949926,-0.800000,-0.832788
high_noise,1,46,True,32,32,-3999.557088,0.300000,0.496909,0.400000,0.493357,0.900000,0.086296,0.500000,0.727414,1.000000,0.200582,1.000000,1.376954,0.770000,0.770295,-0.200000,-0.358875,1.970000,2.357791,-0.400000,-0.935406
mixed_noise_sigma_low,0,54,True,352,352,-3872.013519,0.600000,0.507015,0.800000,0.823697,0.500000,0.586809,0.200000,0.159573,0.100000,0.195401,1.000000,0.997141,0.500000,0.457094,-0.160000,-0.131440,1.642500,1.682040,-0.800000,-0.818993
mixed_noise_sigma_low,1,46,False,1000,1000,-3224.978545,0.300000,0.237491,0.400000,0.494227,0.900000,0.905171,0.500000,0.540946,0.100000,0.258265,1.000000,0.946945,0.770000,0.755916,-0.200000,-0.267350,1.168100,1.170385,-0.400000,-0.443176
mixed_noise_sigma_high,0,55,True,678,678,-2096.071515,0.600000,0.170360,0.800000,0.812809,0.500000,1.599663,0.200000,0.199963,1.000000,0.305338,0.100000,0.137649,0.500000,0.472481,-0.160000,-0.162532,0.266400,0.270036,-0.008000,-0.015400
mixed_noise_sigma_high,1,45,False,1000,1000,-2967.169347,0.300000,0.085857,0.400000,0.439731,0.900000,2.257764,0.500000,0.543262,1.000000,0.367990,0.100000,0.331989,0.770000,0.737107,-0.200000,-0.238889,0.821600,0.821815,-0.004000,-0.048466
gamma_high_both_groups,0,50,True,64,64,-1641.670086,0.600000,0.347565,0.800000,0.785979,0.500000,0.832075,0.900000,0.932383,0.400000,0.243007,0.400000,0.385050,1.200000,1.221583,-0.720000,-0.732833,0.302400,0.280739,-0.128000,-0.116532
gamma_high_both_groups,1,50,True,229,229,-2112.448441,0.300000,0.200765,0.400000,0.435709,0.900000,1.203781,0.900000,0.949384,0.400000,0.298819,0.400000,0.416286,1.170000,1.191061,-0.360000,-0.413655,0.315200,0.335586,-0.064000,-0.075506
gamma_low_both_groups,0,52,True,58,58,-1744.393648,0.600000,0.350339,0.800000,0.807756,0.500000,0.862928,0.100000,0.116837,0.400000,0.229183,0.400000,0.392767,0.400000,0.419155,-0.080000,-0.094376,0.302400,0.294033,-0.128000,-0.124610
gamma_low_both_groups,1,48,True,289,289,-1967.250223,0.300000,0.178842,0.400000,0.428370,0.900000,1.182445,0.100000,0.136398,0.400000,0.287988,0.400000,0.415238,0.370000,0.347869,-0.040000,-0.058429,0.315200,0.320023,-0.064000,-0.073861
gamma_high_low,0,38,True,60,60,-1327.403138,0.600000,0.349080,0.800000,0.808462,0.500000,0.858584,0.900000,0.869813,0.400000,0.242119,0.400000,0.400669,1.200000,1.169528,-0.720000,-0.703211,0.302400,0.308678,-0.128000,-0.129787
gamma_high_low,1,62,True,210,210,-2523.353138,0.300000,0.178313,0.400000,0.460476,0.900000,1.129642,0.100000,0.165713,0.400000,0.281372,0.400000,0.427200,0.370000,0.367142,-0.040000,-0.076307,0.315200,0.322226,-0.064000,-0.084037
gamma_low_high,0,42,True,55,55,-1377.736010,0.600000,0.409304,0.800000,0.816246,0.500000,0.802206,0.100000,0.091469,0.400000,0.210805,0.400000,0.402402,0.400000,0.419815,-0.080000,-0.074661,0.302400,0.298411,-0.128000,-0.132173
gamma_low_high,1,58,True,159,159,-2387.017913,0.300000,0.174163,0.400000,0.574501,0.900000,0.962606,0.900000,0.981911,0.400000,0.285364,0.400000,0.454916,1.170000,1.149561,-0.360000,-0.564109,0.315200,0.350709,-0.064000,-0.118892
