regime,seed,n_train_group0,n_train_group1,em_groups_converged,accuracy_ssm,accuracy_lr_full_timeseries,accuracy_lr_moments
low_noise,0,44,56,2,1.000000,0.500000,0.600000
low_noise,1,50,50,2,1.000000,0.410000,0.900000
low_noise,2,49,51,2,1.000000,0.570000,0.890000
low_noise,3,50,50,2,1.000000,0.500000,0.910000
low_noise,4,46,54,2,1.000000,0.490000,0.780000
high_noise,0,54,46,2,0.780000,0.550000,0.630000
high_noise,1,45,55,2,0.880000,0.540000,0.800000
high_noise,2,56,44,2,0.910000,0.500000,0.780000
high_noise,3,53,47,2,0.840000,0.490000,0.760000
high_noise,4,44,56,2,0.860000,0.490000,0.610000
mixed_noise_sigma_low,0,54,46,1,0.750000,0.520000,0.640000
mixed_noise_sigma_low,1,56,44,1,0.770000,0.590000,0.590000
mixed_noise_sigma_low,2,51,49,0,0.720000,0.470000,0.680000
mixed_noise_sigma_low,3,51,49,1,0.730000,0.530000,0.540000
mixed_noise_sigma_low,4,45,55,2,0.720000,0.530000,0.590000
mixed_noise_sigma_high,0,55,45,1,1.000000,0.540000,0.980000
mixed_noise_sigma_high,1,46,54,1,0.990000,0.540000,0.960000
mixed_noise_sigma_high,2,45,55,1,1.000000,0.480000,0.960000
mixed_noise_sigma_high,3,55,45,1,1.000000,0.540000,0.960000
mixed_noise_sigma_high,4,51,49,0,1.000000,0.500000,0.980000
gamma_high_both_groups,0,50,50,2,0.830000,0.510000,0.540000
gamma_high_both_groups,1,51,49,1,0.840000,0.560000,0.590000
gamma_high_both_groups,2,52,48,2,0.890000,0.480000,0.620000
gamma_high_both_groups,3,48,52,2,0.880000,0.510000,0.610000
gamma_high_both_groups,4,54,46,2,0.860000,0.410000,0.490000
gamma_low_both_groups,0,52,48,2,0.870000,0.540000,0.520000
gamma_low_both_groups,1,40,60,2,0.870000,0.410000,0.430000
gamma_low_both_groups,2,48,52,2,0.860000,0.440000,0.580000
gamma_low_both_groups,3,43,57,2,0.890000,0.530000,0.490000
gamma_low_both_groups,4,52,48,2,0.860000,0.560000,0.520000
gamma_high_low,0,38,62,2,1.000000,0.550000,0.930000
gamma_high_low,1,52,48,2,1.000000,0.410000,0.940000
gamma_high_low,2,57,43,2,1.000000,0.510000,0.960000
gamma_high_low,3,46,54,2,0.990000,0.590000,0.860000
gamma_high_low,4,60,40,2,1.000000,0.510000,0.880000
gamma_low_high,0,42,58,2,1.000000,0.420000,0.980000
gamma_low_high,1,47,53,2,1.000000,0.460000,1.000000
gamma_low_high,2,53,47,2,1.000000,0.550000,0.980000
gamma_low_high,3,52,48,2,1.000000,0.480000,0.970000
gamma_low_high,4,54,46,2,1.000000,0.530000,0.950000
