timestep,random_accuracy,entropy minimization_accuracy,mutual information_accuracy,random_sem,entropy minimization_sem,mutual information_sem
1.000000,0.500000,0.500000,0.500000,0.050000,0.050000,0.050000
2.000000,0.610000,0.610000,0.610000,0.048775,0.048775,0.048775
3.000000,0.710000,0.830000,0.710000,0.045376,0.037563,0.045376
4.000000,0.760000,0.930000,0.810000,0.042708,0.025515,0.039230
5.000000,0.790000,0.930000,0.840000,0.040731,0.025515,0.036661
6.000000,0.790000,0.930000,0.860000,0.040731,0.025515,0.034699
7.000000,0.790000,0.930000,0.880000,0.040731,0.025515,0.032496
8.000000,0.860000,0.950000,0.930000,0.034699,0.021794,0.025515
9.000000,0.860000,0.940000,0.890000,0.034699,0.023749,0.031289
10.000000,0.830000,0.950000,0.910000,0.037563,0.021794,0.028618
11.000000,0.840000,0.960000,0.920000,0.036661,0.019596,0.027129
12.000000,0.890000,0.970000,0.930000,0.031289,0.017059,0.025515
13.000000,0.920000,0.980000,0.940000,0.027129,0.014000,0.023749
14.000000,0.920000,0.990000,0.960000,0.027129,0.009950,0.019596
15.000000,0.960000,0.960000,0.980000,0.019596,0.019596,0.014000
16.000000,0.950000,0.980000,1.000000,0.021794,0.014000,0.000000
17.000000,0.980000,0.980000,0.990000,0.014000,0.014000,0.009950
18.000000,0.980000,1.000000,0.990000,0.014000,0.000000,0.009950
19.000000,0.970000,1.000000,0.990000,0.017059,0.000000,0.009950
20.000000,0.980000,1.000000,1.000000,0.014000,0.000000,0.000000
21.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
22.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
23.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
24.000000,1.000000,1.000000,0.990000,0.000000,0.000000,0.009950
25.000000,0.990000,1.000000,1.000000,0.009950,0.000000,0.000000
26.000000,0.980000,1.000000,1.000000,0.014000,0.000000,0.000000
27.000000,0.980000,1.000000,1.000000,0.014000,0.000000,0.000000
28.000000,0.980000,1.000000,1.000000,0.014000,0.000000,0.000000
29.000000,0.990000,1.000000,1.000000,0.009950,0.000000,0.000000
30.000000,0.980000,1.000000,1.000000,0.014000,0.000000,0.000000
