seed,policy,timestep,accuracy,sem,em_groups_converged
0,random,1,0.500000,0.050000,1
0,random,2,0.610000,0.048775,1
0,random,3,0.710000,0.045376,1
0,random,4,0.760000,0.042708,1
0,random,5,0.790000,0.040731,1
0,random,6,0.790000,0.040731,1
0,random,7,0.790000,0.040731,1
0,random,8,0.860000,0.034699,1
0,random,9,0.860000,0.034699,1
0,random,10,0.830000,0.037563,1
0,random,11,0.840000,0.036661,1
0,random,12,0.890000,0.031289,1
0,random,13,0.920000,0.027129,1
0,random,14,0.920000,0.027129,1
0,random,15,0.960000,0.019596,1
0,random,16,0.950000,0.021794,1
0,random,17,0.980000,0.014000,1
0,random,18,0.980000,0.014000,1
0,random,19,0.970000,0.017059,1
0,random,20,0.980000,0.014000,1
0,random,21,1.000000,0.000000,1
0,random,22,1.000000,0.000000,1
0,random,23,1.000000,0.000000,1
0,random,24,1.000000,0.000000,1
0,random,25,0.990000,0.009950,1
0,random,26,0.980000,0.014000,1
0,random,27,0.980000,0.014000,1
0,random,28,0.980000,0.014000,1
0,random,29,0.990000,0.009950,1
0,random,30,0.980000,0.014000,1
0,entropy minimization,1,0.500000,0.050000,1
0,entropy minimization,2,0.610000,0.048775,1
0,entropy minimization,3,0.830000,0.037563,1
0,entropy minimization,4,0.930000,0.025515,1
0,entropy minimization,5,0.930000,0.025515,1
0,entropy minimization,6,0.930000,0.025515,1
0,entropy minimization,7,0.930000,0.025515,1
0,entropy minimization,8,0.950000,0.021794,1
0,entropy minimization,9,0.940000,0.023749,1
0,entropy minimization,10,0.950000,0.021794,1
0,entropy minimization,11,0.960000,0.019596,1
0,entropy minimization,12,0.970000,0.017059,1
0,entropy minimization,13,0.980000,0.014000,1
0,entropy minimization,14,0.990000,0.009950,1
0,entropy minimization,15,0.960000,0.019596,1
0,entropy minimization,16,0.980000,0.014000,1
0,entropy minimization,17,0.980000,0.014000,1
0,entropy minimization,18,1.000000,0.000000,1
0,entropy minimization,19,1.000000,0.000000,1
0,entropy minimization,20,1.000000,0.000000,1
0,entropy minimization,21,1.000000,0.000000,1
0,entropy minimization,22,1.000000,0.000000,1
0,entropy minimization,23,1.000000,0.000000,1
0,entropy minimization,24,1.000000,0.000000,1
0,entropy minimization,25,1.000000,0.000000,1
0,entropy minimization,26,1.000000,0.000000,1
0,entropy minimization,27,1.000000,0.000000,1
0,entropy minimization,28,1.000000,0.000000,1
0,entropy minimization,29,1.000000,0.000000,1
0,entropy minimization,30,1.000000,0.000000,1
0,mutual information,1,0.500000,0.050000,1
0,mutual information,2,0.610000,0.048775,1
0,mutual information,3,0.710000,0.045376,1
0,mutual information,4,0.810000,0.039230,1
0,mutual information,5,0.840000,0.036661,1
0,mutual information,6,0.860000,0.034699,1
0,mutual information,7,0.880000,0.032496,1
0,mutual information,8,0.930000,0.025515,1
0,mutual information,9,0.890000,0.031289,1
0,mutual information,10,0.910000,0.028618,1
0,mutual information,11,0.920000,0.027129,1
0,mutual information,12,0.930000,0.025515,1
0,mutual information,13,0.940000,0.023749,1
0,mutual information,14,0.960000,0.019596,1
0,mutual information,15,0.980000,0.014000,1
0,mutual information,16,1.000000,0.000000,1
0,mutual information,17,0.990000,0.009950,1
0,mutual information,18,0.990000,0.009950,1
0,mutual information,19,0.990000,0.009950,1
0,mutual information,20,1.000000,0.000000,1
0,mutual information,21,1.000000,0.000000,1
0,mutual information,22,1.000000,0.000000,1
0,mutual information,23,1.000000,0.000000,1
0,mutual information,24,0.990000,0.009950,1
0,mutual information,25,1.000000,0.000000,1
0,mutual information,26,1.000000,0.000000,1
0,mutual information,27,1.000000,0.000000,1
0,mutual information,28,1.000000,0.000000,1
0,mutual information,29,1.000000,0.000000,1
0,mutual information,30,1.000000,0.000000,1
1,random,1,0.500000,0.050000,1
1,random,2,0.610000,0.048775,1
1,random,3,0.640000,0.048000,1
1,random,4,0.680000,0.046648,1
1,random,5,0.760000,0.042708,1
1,random,6,0.770000,0.042083,1
1,random,7,0.830000,0.037563,1
1,random,8,0.850000,0.035707,1
1,random,9,0.860000,0.034699,1
1,random,10,0.860000,0.034699,1
1,random,11,0.890000,0.031289,1
1,random,12,0.910000,0.028618,1
1,random,13,0.930000,0.025515,1
1,random,14,0.930000,0.025515,1
1,random,15,0.950000,0.021794,1
1,random,16,0.940000,0.023749,1
1,random,17,0.940000,0.023749,1
1,random,18,0.950000,0.021794,1
1,random,19,0.960000,0.019596,1
1,random,20,0.970000,0.017059,1
1,random,21,0.960000,0.019596,1
1,random,22,0.960000,0.019596,1
1,random,23,0.970000,0.017059,1
1,random,24,0.970000,0.017059,1
1,random,25,0.970000,0.017059,1
1,random,26,0.970000,0.017059,1
1,random,27,0.970000,0.017059,1
1,random,28,0.970000,0.017059,1
1,random,29,0.980000,0.014000,1
1,random,30,0.990000,0.009950,1
1,entropy minimization,1,0.500000,0.050000,1
1,entropy minimization,2,0.610000,0.048775,1
1,entropy minimization,3,0.710000,0.045376,1
1,entropy minimization,4,0.750000,0.043301,1
1,entropy minimization,5,0.840000,0.036661,1
1,entropy minimization,6,0.870000,0.033630,1
1,entropy minimization,7,0.930000,0.025515,1
1,entropy minimization,8,0.920000,0.027129,1
1,entropy minimization,9,0.970000,0.017059,1
1,entropy minimization,10,0.960000,0.019596,1
1,entropy minimization,11,0.990000,0.009950,1
1,entropy minimization,12,0.990000,0.009950,1
1,entropy minimization,13,0.990000,0.009950,1
1,entropy minimization,14,0.990000,0.009950,1
1,entropy minimization,15,1.000000,0.000000,1
1,entropy minimization,16,1.000000,0.000000,1
1,entropy minimization,17,1.000000,0.000000,1
1,entropy minimization,18,1.000000,0.000000,1
1,entropy minimization,19,1.000000,0.000000,1
1,entropy minimization,20,0.990000,0.009950,1
1,entropy minimization,21,1.000000,0.000000,1
1,entropy minimization,22,1.000000,0.000000,1
1,entropy minimization,23,1.000000,0.000000,1
1,entropy minimization,24,1.000000,0.000000,1
1,entropy minimization,25,1.000000,0.000000,1
1,entropy minimization,26,1.000000,0.000000,1
1,entropy minimization,27,1.000000,0.000000,1
1,entropy minimization,28,1.000000,0.000000,1
1,entropy minimization,29,1.000000,0.000000,1
1,entropy minimization,30,1.000000,0.000000,1
1,mutual information,1,0.500000,0.050000,1
1,mutual information,2,0.610000,0.048775,1
1,mutual information,3,0.720000,0.044900,1
1,mutual information,4,0.740000,0.043863,1
1,mutual information,5,0.770000,0.042083,1
1,mutual information,6,0.830000,0.037563,1
1,mutual information,7,0.850000,0.035707,1
1,mutual information,8,0.900000,0.030000,1
1,mutual information,9,0.910000,0.028618,1
1,mutual information,10,0.910000,0.028618,1
1,mutual information,11,0.920000,0.027129,1
1,mutual information,12,0.920000,0.027129,1
1,mutual information,13,0.920000,0.027129,1
1,mutual information,14,0.930000,0.025515,1
1,mutual information,15,0.920000,0.027129,1
1,mutual information,16,0.920000,0.027129,1
1,mutual information,17,0.940000,0.023749,1
1,mutual information,18,0.940000,0.023749,1
1,mutual information,19,0.940000,0.023749,1
1,mutual information,20,0.950000,0.021794,1
1,mutual information,21,0.950000,0.021794,1
1,mutual information,22,0.970000,0.017059,1
1,mutual information,23,0.960000,0.019596,1
1,mutual information,24,0.970000,0.017059,1
1,mutual information,25,0.970000,0.017059,1
1,mutual information,26,0.980000,0.014000,1
1,mutual information,27,0.990000,0.009950,1
1,mutual information,28,0.990000,0.009950,1
1,mutual information,29,0.990000,0.009950,1
1,mutual information,30,1.000000,0.000000,1
2,random,1,0.500000,0.050000,0
2,random,2,0.570000,0.049508,0
2,random,3,0.650000,0.047697,0
2,random,4,0.730000,0.044396,0
2,random,5,0.730000,0.044396,0
2,random,6,0.740000,0.043863,0
2,random,7,0.810000,0.039230,0
2,random,8,0.850000,0.035707,0
2,random,9,0.880000,0.032496,0
2,random,10,0.880000,0.032496,0
2,random,11,0.870000,0.033630,0
2,random,12,0.890000,0.031289,0
2,random,13,0.910000,0.028618,0
2,random,14,0.920000,0.027129,0
2,random,15,0.910000,0.028618,0
2,random,16,0.920000,0.027129,0
2,random,17,0.950000,0.021794,0
2,random,18,0.960000,0.019596,0
2,random,19,0.950000,0.021794,0
2,random,20,0.960000,0.019596,0
2,random,21,0.960000,0.019596,0
2,random,22,0.970000,0.017059,0
2,random,23,0.980000,0.014000,0
2,random,24,0.980000,0.014000,0
2,random,25,0.980000,0.014000,0
2,random,26,0.980000,0.014000,0
2,random,27,0.980000,0.014000,0
2,random,28,0.980000,0.014000,0
2,random,29,0.990000,0.009950,0
2,random,30,0.980000,0.014000,0
2,entropy minimization,1,0.500000,0.050000,0
2,entropy minimization,2,0.570000,0.049508,0
2,entropy minimization,3,0.750000,0.043301,0
2,entropy minimization,4,0.780000,0.041425,0
2,entropy minimization,5,0.850000,0.035707,0
2,entropy minimization,6,0.870000,0.033630,0
2,entropy minimization,7,0.910000,0.028618,0
2,entropy minimization,8,0.940000,0.023749,0
2,entropy minimization,9,0.970000,0.017059,0
2,entropy minimization,10,0.960000,0.019596,0
2,entropy minimization,11,0.970000,0.017059,0
2,entropy minimization,12,0.970000,0.017059,0
2,entropy minimization,13,0.970000,0.017059,0
2,entropy minimization,14,0.990000,0.009950,0
2,entropy minimization,15,0.990000,0.009950,0
2,entropy minimization,16,0.980000,0.014000,0
2,entropy minimization,17,0.980000,0.014000,0
2,entropy minimization,18,0.970000,0.017059,0
2,entropy minimization,19,0.990000,0.009950,0
2,entropy minimization,20,0.980000,0.014000,0
2,entropy minimization,21,0.980000,0.014000,0
2,entropy minimization,22,0.980000,0.014000,0
2,entropy minimization,23,1.000000,0.000000,0
2,entropy minimization,24,1.000000,0.000000,0
2,entropy minimization,25,0.990000,0.009950,0
2,entropy minimization,26,1.000000,0.000000,0
2,entropy minimization,27,1.000000,0.000000,0
2,entropy minimization,28,1.000000,0.000000,0
2,entropy minimization,29,1.000000,0.000000,0
2,entropy minimization,30,1.000000,0.000000,0
2,mutual information,1,0.500000,0.050000,0
2,mutual information,2,0.570000,0.049508,0
2,mutual information,3,0.740000,0.043863,0
2,mutual information,4,0.710000,0.045376,0
2,mutual information,5,0.800000,0.040000,0
2,mutual information,6,0.830000,0.037563,0
2,mutual information,7,0.890000,0.031289,0
2,mutual information,8,0.920000,0.027129,0
2,mutual information,9,0.960000,0.019596,0
2,mutual information,10,0.970000,0.017059,0
2,mutual information,11,0.970000,0.017059,0
2,mutual information,12,0.960000,0.019596,0
2,mutual information,13,0.970000,0.017059,0
2,mutual information,14,0.970000,0.017059,0
2,mutual information,15,0.970000,0.017059,0
2,mutual information,16,0.960000,0.019596,0
2,mutual information,17,0.970000,0.017059,0
2,mutual information,18,0.960000,0.019596,0
2,mutual information,19,0.960000,0.019596,0
2,mutual information,20,0.960000,0.019596,0
2,mutual information,21,0.970000,0.017059,0
2,mutual information,22,0.970000,0.017059,0
2,mutual information,23,0.990000,0.009950,0
2,mutual information,24,0.960000,0.019596,0
2,mutual information,25,0.970000,0.017059,0
2,mutual information,26,0.980000,0.014000,0
2,mutual information,27,0.980000,0.014000,0
2,mutual information,28,0.990000,0.009950,0
2,mutual information,29,0.990000,0.009950,0
2,mutual information,30,0.990000,0.009950,0
3,random,1,0.500000,0.050000,0
3,random,2,0.600000,0.048990,0
3,random,3,0.710000,0.045376,0
3,random,4,0.750000,0.043301,0
3,random,5,0.810000,0.039230,0
3,random,6,0.810000,0.039230,0
3,random,7,0.830000,0.037563,0
3,random,8,0.910000,0.028618,0
3,random,9,0.900000,0.030000,0
3,random,10,0.930000,0.025515,0
3,random,11,0.930000,0.025515,0
3,random,12,0.960000,0.019596,0
3,random,13,0.940000,0.023749,0
3,random,14,0.960000,0.019596,0
3,random,15,0.950000,0.021794,0
3,random,16,0.950000,0.021794,0
3,random,17,0.940000,0.023749,0
3,random,18,0.940000,0.023749,0
3,random,19,0.940000,0.023749,0
3,random,20,0.960000,0.019596,0
3,random,21,0.960000,0.019596,0
3,random,22,0.970000,0.017059,0
3,random,23,0.970000,0.017059,0
3,random,24,0.980000,0.014000,0
3,random,25,0.980000,0.014000,0
3,random,26,0.970000,0.017059,0
3,random,27,0.970000,0.017059,0
3,random,28,0.980000,0.014000,0
3,random,29,0.990000,0.009950,0
3,random,30,0.980000,0.014000,0
3,entropy minimization,1,0.500000,0.050000,0
3,entropy minimization,2,0.600000,0.048990,0
3,entropy minimization,3,0.820000,0.038419,0
3,entropy minimization,4,0.850000,0.035707,0
3,entropy minimization,5,0.910000,0.028618,0
3,entropy minimization,6,0.960000,0.019596,0
3,entropy minimization,7,0.960000,0.019596,0
3,entropy minimization,8,0.960000,0.019596,0
3,entropy minimization,9,0.990000,0.009950,0
3,entropy minimization,10,0.990000,0.009950,0
3,entropy minimization,11,1.000000,0.000000,0
3,entropy minimization,12,0.990000,0.009950,0
3,entropy minimization,13,0.990000,0.009950,0
3,entropy minimization,14,0.990000,0.009950,0
3,entropy minimization,15,0.980000,0.014000,0
3,entropy minimization,16,0.990000,0.009950,0
3,entropy minimization,17,0.990000,0.009950,0
3,entropy minimization,18,1.000000,0.000000,0
3,entropy minimization,19,1.000000,0.000000,0
3,entropy minimization,20,1.000000,0.000000,0
3,entropy minimization,21,1.000000,0.000000,0
3,entropy minimization,22,1.000000,0.000000,0
3,entropy minimization,23,1.000000,0.000000,0
3,entropy minimization,24,1.000000,0.000000,0
3,entropy minimization,25,1.000000,0.000000,0
3,entropy minimization,26,1.000000,0.000000,0
3,entropy minimization,27,1.000000,0.000000,0
3,entropy minimization,28,1.000000,0.000000,0
3,entropy minimization,29,1.000000,0.000000,0
3,entropy minimization,30,1.000000,0.000000,0
3,mutual information,1,0.500000,0.050000,0
3,mutual information,2,0.600000,0.048990,0
3,mutual information,3,0.750000,0.043301,0
3,mutual information,4,0.790000,0.040731,0
3,mutual information,5,0.870000,0.033630,0
3,mutual information,6,0.870000,0.033630,0
3,mutual information,7,0.890000,0.031289,0
3,mutual information,8,0.860000,0.034699,0
3,mutual information,9,0.870000,0.033630,0
3,mutual information,10,0.920000,0.027129,0
3,mutual information,11,0.940000,0.023749,0
3,mutual information,12,0.960000,0.019596,0
3,mutual information,13,0.970000,0.017059,0
3,mutual information,14,0.980000,0.014000,0
3,mutual information,15,0.980000,0.014000,0
3,mutual information,16,1.000000,0.000000,0
3,mutual information,17,0.990000,0.009950,0
3,mutual information,18,1.000000,0.000000,0
3,mutual information,19,0.980000,0.014000,0
3,mutual information,20,0.980000,0.014000,0
3,mutual information,21,0.980000,0.014000,0
3,mutual information,22,0.980000,0.014000,0
3,mutual information,23,0.980000,0.014000,0
3,mutual information,24,1.000000,0.000000,0
3,mutual information,25,0.990000,0.009950,0
3,mutual information,26,0.990000,0.009950,0
3,mutual information,27,1.000000,0.000000,0
3,mutual information,28,1.000000,0.000000,0
3,mutual information,29,1.000000,0.000000,0
3,mutual information,30,1.000000,0.000000,0
4,random,1,0.500000,0.050000,1
4,random,2,0.530000,0.049910,1
4,random,3,0.650000,0.047697,1
4,random,4,0.700000,0.045826,1
4,random,5,0.770000,0.042083,1
4,random,6,0.790000,0.040731,1
4,random,7,0.860000,0.034699,1
4,random,8,0.860000,0.034699,1
4,random,9,0.880000,0.032496,1
4,random,10,0.910000,0.028618,1
4,random,11,0.930000,0.025515,1
4,random,12,0.940000,0.023749,1
